Run,Seed,TrainAccuracy,TrainFMeasure,TestAccuracy,TestFMeasure,Runtime
1,1235,0.8360655737704918,0.4642857142857143,0.47674418604651164,0.5161290322580644,410.0851
2,1236,0.8633879781420765,0.5762711864406781,0.3953488372093023,0.2972972972972973,397.2009
3,1237,0.8415300546448088,0.4081632653061224,0.38372093023255816,0.15873015873015872,267.4367
4,1238,0.8469945355191257,0.44000000000000006,0.5,0.44155844155844154,257.4287
5,1239,0.8415300546448088,0.4313725490196078,0.5581395348837209,0.5128205128205128,327.0164
6,1240,0.8360655737704918,0.375,0.4883720930232558,0.37142857142857144,448.7742
7,1241,0.8469945355191257,0.4615384615384615,0.5116279069767442,0.4878048780487805,408.2209
8,1242,0.8633879781420765,0.5283018867924528,0.5116279069767442,0.4473684210526315,262.6607
9,1243,0.8797814207650273,0.6071428571428571,0.43023255813953487,0.379746835443038,200.1208
10,1244,0.825136612021858,0.36000000000000004,0.5232558139534884,0.4383561643835616,302.2229
