n,critical_value
1,0
2,0
3,0
4,0
5,0
6,2
7,3
8,5
9,8
10,10
11,13
12,17
13,21
14,25
15,30
16,35
17,41
18,47
19,53
20,60
21,67
22,75
23,83
24,91
25,100
26,110
27,119
28,130
29,140
30,151
31,164
32,176
33,188
34,201
35,215
36,228
37,242
38,257
39,272
40,288
41,304
42,320
43,337
44,354
45,372
46,390
47,409
48,428
49,447
50,467
51,488
52,508
53,530
54,551
55,574
56,596
57,619
58,643
59,667
60,692
61,717
62,742
63,768
64,794
65,821
66,848
67,876
68,904
69,932
70,961
71,991
72,1021
73,1051
74,1082
75,1114
76,1145
77,1178
78,1210
79,1243
80,1277
81,1311
82,1346
83,1381
84,1416
85,1452
86,1489
87,1525
88,1563
89,1600
90,1639
91,1677
92,1717
93,1756
94,1796
95,1837
96,1878
97,1919
98,1961
99,2004
100,2047
